,_id,url,title,description,keywords,topic,field used for the classification,comments,DISCUSSED,TO BE DECIDED
147,imf-linked-data,https://lod-cloud.net/dataset/imf-linked-data,International Monetary Fund (IMF) Linked Data,IMF data and metadata,country-codes; economic; economics; europe; format-dcterms; format-prov; format-qb; format-rdf; format-sdmx; format-skos; government; indicators; international; license-metadata; linked-data; lod; lodcloud; lodcloud.candidate; no-proprietary-vocab; projects; provenance-metadata; published-by-third-; published-by-third-party; statistics; vocab-mappings; void-sparql-endpoint; world,not classified,,,,
471,ILUSOC0000018e1171220c,https://lod-cloud.net/dataset/ILUSOC,Interpretation of Land Use Data in Ordos City,Interpretation of Land Use Data in Ordos City,Ordos City; Land Use,not classified - geography,,,,
800,intervalue,https://lod-cloud.net/dataset/intervalue,intervalue,INTERVALUE data using LOD principle.  INTERVALUE project (http://www.urenio.org/intervalue/) aims to bridge the gap between R&D creators  producers  financiers and marketers by creating a trans-national mechanism that facilitates the valorization of research results. In other words INTERVALUE aims to connect R&D Institutions and their projects with the business sector and the market.,crossdomain; deref-vocab; format-rdf; lod; published-by-producer; sparql-endpoint; void-sparql-endpoint,not classified,,,,
1121,Inztrow,https://lod-cloud.net/dataset/Inztrow,Inztrow,Artist/Producer,Music; Media; hiphop; instrumentals; funk; jazz,,music. is it CH?,,,yes
1656,ipbes00000193b001df55,https://lod-cloud.net/dataset/ipbes,IPBES Assessments Ontology,The Intergovernmental Science-Policy Platform on Biodiversity and Ecosystem Services (IPBES) is an intergovernmental organisation that assesses both the status of biodiversity and the ecosystem services it provides to society at the request of decision-makers. To this end  IPBES works with a wide range of experts  scientists and policy-makers from different backgrounds and nationalities to produce regular regional  national and global assessment reports. Currently  there is no established ontology to represent intergovernmental reports and the wide range of topics and information they contain. In response  we have developed the IPBES ontology as a basic framework for representing such data as Linked Open Data (LOD) and facilitating their accessibility for further study and analysis.,,cultural heritage,biodiversity as natural heritage,,,yes
1358,iptc-newscodes,https://lod-cloud.net/dataset/iptc-newscodes,IPTC NewsCodes,The IPTC not only provides news exchange formats to the news industry but also creates and maintains sets of concepts to be assigned as metadata values to news objects like text  photographs  graphics  audio- and video files and streams. This allows for a consistent coding of news metadata over the course of time - that's the reason why we call them IPTC NewsCodes.  The universe of NewsCodes is currently split into many different sets - taxonomies - for increased manageability as topics usually relate to a specific area. A taxonomy is also likely to be used exclusively in a specific metadata property of a news exchange format.  To provide an easy overview of our taxonomies further we grouped them into four main areas:  * Descriptive NewsCodes: This is a group of taxonomies to describe the content of news items  including the key subject classification  IPTC Media Topics (which takes over from the previous IPTC Subject Codes). * Administrative NewsCodes: This is a group of taxonomies for proper administration of news items. * Transmission NewsCodes: This is a group of taxonomies with controlled values for the transmission process. * Exchange Format NewsCodes: This is a group of taxonomies with values to support specific functionalities of the different IPTC news exchange format standards. NewsML 1.x  NewsML-G2  EventsML-G2 and SportsML-G2 make use of this feature.   Each NewsCodes vocabulary can be referenced via our site  downloaded as a NewsML-G2 Knowledge Item  or downloaded in SKOS format (with IKOS extensions) in RDF/XML   RDF/Turtle and JSON-LD.  Find more details about our taxonomies on the [Overview page](https://iptc.org/standards/newscodes/).  Any NewsCode provided by the IPTC can be used at any stage of a news workflow without any royalty fee. But if one includes IPTC NewsCodes into an application the intellectual property and the copyright of the IPTC must be explicitly included.,lod; lodcloud.nolinks; lodcloud.unconnected; media; news; published-by-producer; subject;,not classified,,,,
631,iserve,https://lod-cloud.net/dataset/iserve,iServe: Linked Services Registry,iServe is the place on the Web where linked data meets services. In a nutshell  iServe is a platform for publishing Semantic Web Services as linked data  no matter their original format.,crossdomain; deref-vocab; format-hrests; format-http; format-msm; format-msm-nfp; format-msm-wsdl; format-rdf; format-sawsdl; format-wl; license-metadata; lod; lodcloud-diagram-2011-09-19; lodcloud-diagram-2014-08-30; no-vocab-mappings; provenance-metadata; published-by-producer; void-sparql-endpoint,not classified,,,,
594,isic-v4,https://lod-cloud.net/dataset/isic-v4,ISIC V4,International Standard Industrial Classification of All Economic Activities  United Nations Statistics Division is a product scheme classification used by the United Nations to create statistics.     Authors:    Jose María Alvarez Rodríguez & Jose Emilio Labra Gayo     WESO-University of Oviedo,10ders; deref-vocab; e-procurement; euroalert; format-dc; format-dcterms; format-gr; format-skos; format-skosxl; geodata; government; isic; license-metadata; linkeddata; linkedopendata; lod; oviedo; procurement; provenance-metadata; pscs; public_contracts; published-by-third-party; uniovi; university-of-oviedo; v4; vocab-mappings; weso,not classified,,,,
542,isil-dbpedia,https://lod-cloud.net/dataset/isil-dbpedia,ISIL->DBpedia,"This package contains BEACON files linking [http://lobid.org/organisation] (ISIL-URIs) to  international DBpedia and German DBpedia. An ISIL is an ""International Standard Identifier for Libraries and Related Organisations"".  The BEACON was constructed using the [file which automatically extracts the ISIL in the wikipdia infobox](http://ws.gbv.de/wpextract/dewiki-isil.beacon) and some more relations computated through simple pattern matching of the name of the institution and some further heuristics  see https://gist.github.com/2910449 .",dbpedia; library; organisations; organizations; wikipedia,not classified,,"we decide to not categorize it as CH even if library are mentioned among keywords, as it is not clarified in the abstract to what extent it is connected to libraries",yes,
474,isocat,https://lod-cloud.net/dataset/isocat,ISOcat,ISO 12620 provides a framework for defining data categories compliant with the ISO/IEC 11179 family of standards. According to this model  each data category is assigned a unique administrative identifier  together with information on the status or decision-making process associated with the data category. In addition  data category specifications in the DCR contain linguistic descriptions  such as data category definitions  statements of associated value domains  and examples. Data category specifications can be associated with a variety of data element names and with language-specific versions of definitions  names  value domains and other attributes.    The RDF dumps of different profiles are dynamically generated at query time over the https://catalog.clarin.eu/isocat/rest/profile/$x.rdf with $x being the profile number.    Triple counts on May 16  2014:  3.rdf 2647  5.rdf 12358  6.rdf 4492  7.rdf 366  10.rdf 2629  11.rdf 712  13.rdf 58  14.rdf 572  15.rdf 131  16.rdf 76  17.rdf 149  19.rdf 383  20.rdf 561  22.rdf 6,crossdomain; isocat; linguistics; llod; lod; lodcloud-diagram-2014-08-30,linguistic,mainly by keywords,,,
1590,isocat-metadata,https://lod-cloud.net/dataset/isocat-metadata,ISOcat-metadata,The linguistics community is building a metadata-based infrastructure for the description of its research data and tools. At its core is the ISOcat registry ISOcat.org  a collaborative platform to hold a (to be standardized) set of data catgories (i.e.  field descriptors). Descriptors have definitions in natural language and little explicit interrelations. With the registry growing to many hundred entries  authored by many  it is becoming increasingly apparent that the rather informal definitions and their glossary-like design make it hard for users to grasp  exploit and manage the registry’s content. Here we take a large subset of the ISOcat term set and reconstruct from it a tree structure following the footsteps of schema.org. Our ontological re-engineering yields a representation that gives users a hierarchical view of linguistic  metadata-related terminology. The new representation adds to the precision of all definitions by making explicit information which is only implicitly given in the ISOcat registry. It also helps uncovering and addressing potential inconsistencies in term definitions as well as gaps and redundancies in the overall ISOcat term set. The new representation can serve as a complement to the existing ISOcat model  providing additional support for authors and users in browsing  (re-)using  maintaining  and further extending the community’s terminological metadata repertoire.    The set of data categories has been taken from the TDG Metadata of the ISOcat data category registry. As the ISOcat registry changes over time  we give a snapshot of all data in this RDF representation  as generated automatically from the registry's export functionality in Dec 2011. Note that this data is a flat representation of the TDG Metadata entries. Each entry is only represented in RDF with its mnemonic identifier  name  persistent identifier and natural language definition. No other information  in particular  no structural information is given.  (http://www.sfs.uni-tuebingen.de/nalida/en/docu/isocat-hierarchy.html)    Free for academic and research use.  (http://www.sfs.uni-tuebingen.de/nalida/images/isocat/isocatOWL.owl),ISOcat; linguistic; llod; lod; metadata; ontology; terminology,linguistic,from abstract and keywords,,,
512,ispra-lod-place,https://lod-cloud.net/dataset/ispra-lod-place,ISPRA - The administrative divisions of Italy (regions/provinces/municipalities),#### dati.isprambiente.it - ISPRA Linked Open Data - The administrative divisions of Italy (regions/provinces/municipalities) + shape of municipalities + link to istat + link to geoname/dbpedia,administrative division; country-italy; format-rdf; lod; luoghi; luogo; places; rdf; rdf-format,not classified - government/geography,,,,
1423,ispra-lod-ron,https://lod-cloud.net/dataset/ispra-lod-ron,ISPRA - The Italian Data Buoy Network (RON),#### dati.isprambiente.it - ISPRA Linked Open Data - The Italian Data Buoy Network (Rete Ondametrica Nazionale - RON),boa; buoy; country-italy; format-rdf; lod; mediterraneansea; nazionale; network; ocean waves; oceanografia; oceanography; onda; ondametria; ondametrica; ondametrico; onde; onde marine; rdf; rdf-format; rete; ron; waves,not classified - government/geography,,,,
112,issa-agritrop,https://lod-cloud.net/dataset/issa-agritrop,ISSA Agritrop Dataset,This dataset  produced in the context of the ISSA project (https://issa.cirad.fr/)  provides a semantic index of the articles of the Agritrop scientific archive. It is built by extracting thematic descriptors and named entities from the articles full-text  and linking them with resources from DBpedia  Wikidata and AGROVOC.,,papers,,,,
